Brand,Model,Year,Price,Color,Mileage,Transmission,Fuel_Type,Date_Sold,Buyer_Name,City,Dealership_ID,Cost,Profit,Customer_Email,Customer_Phone
Hyundai,Tucson,2001,34563.68,Black,54217.8,unknown,Hybrid,20-03-2021,Miranda Owens,West Williamshire,D0035,30698.06329,3865.616712,johnsondenise@gmail,+1-342-404-3396x1638
Nissan,Altima,2019,54168.81,Grey,91198,Automatic,Diesel,24-09-2022,Andrew Walker,Aprilport,D0014,44216.03935,9952.770654,garmstrong@gmail,001-020-367-5635x484
Volkswagen,Golf,2022,15294.58,Silver,7666.5,Manual,Petrol,12-12-2022,Albert Cross,Kathychester,D0017,14048.72436,1245.855642,hannahgarrison@fisher.biz,001-857-299-0604
BMW,X5,2022,22772.62,White,196147.7,Automatic,Hybrid,25-10-2024,Erin Woodard,West Nataliefurt,D0036,17099.02939,5673.590614,matthew40@gmail,+17046073403x75720
BMW,X3,2010,65726.15,Silver,57098.7,Automatic,Electric,11-12-2022,Kenneth Chase,Mendeztown,D0050,48101.45967,17624.69033,diazdouglas@hotmail.com,
Kia,Optima,2010,40874.63,Silver,78556,Manual,Diesel,01-09-2024,Jeffrey Knox,Paulland,D0040,31529.75744,9344.872563,leroycook@hotmail.com,001-427-713-4464x872
Kia,Sportage,2012,30095.12,Grey,159516.8,Automatic,Hybrid,18-01-2024,Kelsey Hill,North Robin,D0004,25066.05539,5029.064614,gdavis@yahoo.com,(123)4435847
Honda,CR-V,2014,5997.59,Blue,84945.8,Automatic,Petrol,13-11-2020,Keith Lopez,Brownhaven,D0002,4963.84808,1033.74192,longeric@hotmail.com,297.299.9336x5632
Nissan,Altima,2010,45741.95,White,175114.7,Automatic,Petrol,03-11-2020,Amber Taylor,North Robertfurt,D0006,41403.31184,4338.638164,beverly49@oconnell.com,+1-919-437-2385x38027
Honda,Accord,2005,50110.08,Red,13968.2,Automatic,Electric,11-12-2020,Andrew Best,Victoriachester,D0042,40145.29793,9964.782066,ashleylee@coffey-boone.net,(724)641-6189x751
Ford,Focus,2019,61604.57,Silver,138211.2,Manual,Diesel,04-10-2023,Jennifer Hines,Kimberlychester,D0004,50582.65653,11021.91347,vowens@martin.net,001-967-769-1378
BMW,X5,2017,15268.42,White,189320.9,Manual,Hybrid,18-02-2025,Todd Davis,Bethbury,D0029,10738.91985,4529.500149,moorechristopher@hotmail.com,+1-720-591-7995x1947
Hyundai,Tucson,2011,42362.78,,62570,Manual,Electric,03-06-2022,Tina Hanson,Parkland,D0018,33993.36928,8369.410717,cday@yahoo.com,+1-102-635-9759x252
BMW,X1,2019,57125.58,Blue,129140.5,Manual,Diesel,21-06-2021,Isaac Jones,Thomasberg,D0026,49239.02569,7886.554308,ambersnyder@haney.biz,(241)257-7392x47525
Ford,Focus,2009,26236.74,White,39249.8,Automatic,Electric,07-11-2024,Bethany Moran,New Cindy,D0044,18467.44001,7769.29999,kennethdavis@hotmail.com,505-382-4818
BMW,X5,2010,57275.12,White,192764.2,Automatic,Diesel,09-03-2021,Lori Miller,Ramirezville,D0034,44114.47107,13160.64893,lisa18@hughes.com,(691)626-3304x0359
Hyundai,Elantra,2008,39877.2,White,76874.2,Manual,Hybrid,14-02-2024,Cody Simpson,Port Kimberly,D0010,29987.21933,9889.980667,jamiemarshall@hotmail.com,001-187-844-1440x47834
Nissan,Altima,2019,19388.87,Red,128903.8,Manual,Electric,19-06-2025,Laura Nielsen,Edwinport,D0036,13775.72151,5613.148494,qmartin@jones-cohen.info,275.985.4295
Chevrolet,Equinox,2004,30261.98,Black,135744.8,Manual,Diesel,11-12-2020,Amy Campbell,Lake Brittneytown,D0014,24809.22581,5452.754186,bradleyjustin@gmail.com,
Mercedes,C-Class,2014,33905.23,Blue,171812.8,Automatic,Electric,12-02-2022,Jonathan White,Lake Max,D0031,25274.00351,8631.226487,waltersteresa@hotmail.com,760.123.4407x58757
Kia,Rio,2021,18786.88,Grey,121443.5,Automatic,Petrol,04-10-2021,Ryan Robinson,West Rachel,D0048,16640.86193,2146.018071,moodymercedes@joseph.com,
Chevrolet,Equinox,2006,57848.44,Blue,69069.1,Automatic,Petrol,06-01-2022,Christina White,Maryfort,D0015,52756.73433,5091.705673,michael74@gmail,(899)602-1771x94106
Toyota,Corolla,2000,28285.75,Blue,119826.3,Automatic,Diesel,01-03-2021,Aaron Matthews,Williamsborough,D0008,23658.09652,4627.65348,bryanmorris@gmail,(003)419-9319
Mercedes,GLA,2018,12088.51,Silver,48202.2,Automatic,Electric,04-10-2020,Lori Smith,Susanchester,D0014,11428.80176,659.7082432,michael92@glass.com,-4990
Kia,Sportage,2014,9776.9,Red,67811.8,Automatic,Petrol,28-04-2024,Amanda Stokes,Vickiland,D0023,7944.900986,1831.999014,timothy00@stewart.com,001-016-808-6163
BMW,X3,2016,44352.74,Red,159653.7,Automatic,Diesel,01-08-2024,Jessica Clarke,Lake Gailview,D0040,36739.23969,7613.500312,stacey81@miller.com,(771)673-2523
Mercedes,E-Class,2010,48232.01,Black,190950.5,Manual,Petrol,29-09-2022,Justin Wolf,Lake Tracie,D0021,45690.39715,2541.61285,langrachael@green.com,(022)989-2180
Toyota,RAV4,2017,41509.42,Grey,28835.1,Manual,Hybrid,15-08-2022,Jared Fisher,East Reginaland,D0016,31459.45432,10049.96568,john98@gmail,276.250.9815
Chevrolet,Malibu,2021,36342.31,Red,73272.2,Manual,Petrol,25-05-2025,Joseph Lee,Port Kellyton,D0045,34003.19118,2339.118818,bakermelinda@hotmail.com,210.452.1943
Volkswagen,TIGUAN,2020,41188.08,Silver,186171.4,Manual,Petrol,01-12-2023,Douglas Conrad,Christopherbury,D0018,29272.75516,11915.32484,ryan15@hotmail.com,484-595-4301x69337
Volkswagen,Tiguan,2012,9523.05,Grey,128468.5,Automatic,Petrol,19-01-2024,Lisa Walsh,Craigside,D0047,7728.876169,1794.173831,daniel98@hotmail.com,(206)621-7898
Volkswagen,Tiguan,2002,62417.24,Blue,35694.9,Automatic,Petrol,09-09-2024,Cynthia Walton,Tracyberg,D0024,44784.4245,17632.8155,flowersmelvin@gmail.com,
honda,Accord,2013,12207.84,,137304.8,Manual,Electric,19-11-2023,Tristan Morales,Ortizmouth,D0026,10771.08327,1436.756734,gabriellopez@gmail.com,656.412.9276
Ford,Fusion,2009,26327.95,Red,101990.1,Manual,Diesel,26-07-2022,Allen Shaffer,New Christine,D0025,22434.10501,3893.844989,,558.984.3845
Hyundai,Tucson,2001,33354.27,White,184626.7,Manual,Hybrid,22-08-2023,Manuel Taylor,Derekbury,D0045,29240.3065,4113.963496,,966.232.3687x186
Volkswagen,Passat,2022,64785.03,Red,90158.8,Automatic,Diesel,05-04-2022,Luis Roberts,Melindashire,D0041,51414.70199,13370.32801,jlane@gmail.com,
Ford,Focus,2016,46159.6,Silver,104440.7,Manual,Electric,10-02-2022,Karen Spencer,West Susanshire,D0029,36575.50457,9584.095429,stacyflores@yahoo.com,150.881.0137
Volkswagen,Golf,2024,54344.9,Red,39543.5,Manual,Hybrid,10-06-2021,Joshua Wilson,Gilbertview,D0015,38657.14792,15687.75208,paulreynolds@hotmail.com,601-440-0293x9691
Volkswagen,Passat,2020,25549.03,White,18315.8,Manual,Electric,27-08-2024,Amanda Bradford,Andrewstad,D0045,20119.50944,5429.52056,gmoon@gmail.com,740.539.9502
Mercedes,E-Class,2002,46903.32,Red,124926.6,Manual,Hybrid,16-03-2021,Nicholas Lopez,Thomashaven,D0001,43729.00183,3174.318174,oscar64@bauer.biz,(484)031-9855
Chevrolet,Impala,2019,35915.89,Blue,191755.9,Manual,Petrol,27-11-2024,Kimberly Lopez,Michaelhaven,D0025,28546.18765,7369.702351,hallamy@hotmail.com,645-828-7237
Kia,Optima,2016,38978.62,Blue,75960.1,Manual,Hybrid,28-06-2021,Steven Wilkins,West Marcus,D0007,35386.42548,3592.194525,amanda60@hendricks.biz,5839584596
Honda,CR-V,2021,30126.67,Black,146128.1,Automatic,Electric,08-09-2021,Mrs. Monica Gilbert,Mcintyreton,D0009,27432.78463,2693.885371,ebennett@hotmail.com,+1-784-552-6890x05597
Ford,Escape,2022,65970.14,Black,113989.8,Manual,Diesel,02-12-2021,Andrew Kim,West Rhonda,D0024,52334.79084,13635.34916,,910.789.3552x2017
Hyundai,Tucson,2011,6184.98,Black,40151.3,Automatic,Electric,15-01-2022,Blake Davis,West Danaton,D0001,5306.695337,878.2846629,anna84@schultz.com,+1-962-680-6973x12616
Honda,CR-V,2024,40085.1,Grey,177318,Automatic,Electric,19-05-2023,Samuel Zimmerman,Bakerborough,D0044,29015.31505,11069.78495,nataliemiranda@gmail.com,3415830669
Volkswagen,Golf,2023,33448.77,White,76038.4,Automatic,Hybrid,10-07-2020,Lance Tucker,West Jamesside,D0008,24281.11925,9167.65075,keith38@pearson.net,(777)572-3522x5428
Kia,Rio,2011,49089.94,Silver,196965.8,Manual,Electric,03-08-2023,Daniel Pittman,Port Patricia,D0024,34960.10845,14129.83155,reginaldspencer@gmail.com,(027)464-5769
BMW,X1,2020,36238.39,Black,113135.4,Automatic,Petrol,17-08-2020,Sandy Johnson,Port Samantha,D0011,30630.63589,5607.754113,david86@williamson.com,285.506.3945
Chevrolet,Impala,2011,65480.68,White,15385.1,Manual,Diesel,25-11-2023,Helen Brown,Alejandrofurt,D0017,52811.33034,12669.34966,rachael06@greene.com,0014796112387x168
Mercedes,C-Class,2004,7489.71,White,,Automatic,Hybrid,05-05-2021,Chad Reed,Jessicaside,D0008,6268.947856,1220.762144,robinsonandrew@yahoo.com,(984)158-8410x69500
Volkswagen,Tiguan,2013,12227.15,Black,51339.8,Automatic,Petrol,19-01-2025,Dustin Moore,Suzanneborough,D0035,10151.81502,2075.334985,umclaughlin@williams-stone.org,001-707-818-3307x891
Nissan,Sentra,2020,38499.42,,145116.1,Manual,Hybrid,17-02-2025,Max Morgan,South Tammytown,D0035,30320.24701,8179.17299,hopkinsmichael@gordon.com,1793663344
Mercedes,C-Class,2016,40365.33,,113059.6,Manual,Hybrid,18-01-2023,Anna Garcia,Villarrealborough,D0033,35092.34049,5272.989511,phillipsmindy@gmail.com,224.452.0933x24848
Chevrolet,Equinox,2021,45836.7,,148361.5,Manual,Diesel,27-11-2021,Joseph Hudson,Karenside,D0005,40777.49579,5059.204209,roseerica@fields-meyer.net,103-982-4958x820
Kia,Sportage,2005,57747.35,Red,144628.8,Manual,Petrol,15-08-2022,Omar White,Smithside,D0042,40634.3308,17113.0192,angel97@franklin-king.com,(805)261-7075
Nissan,Altima,2008,7380.35,Grey,42265.2,Manual,Petrol,22-02-2024,Katherine Molina,Caseyview,D0039,5548.625177,1831.724823,vbautista@gmail.com,(791)757-2836x58634
Hyundai,Sonata,2005,37253.21,White,76632.7,Manual,Petrol,08-05-2022,Helen Macdonald,Millerfurt,D0041,32719.82839,4533.381607,jgallegos@gmail.com,
Honda,Accord,2021,24216.6,White,122511.2,Manual,Diesel,09-05-2024,Jon Young,Comptonview,D0028,19292.27652,4924.323482,williamsjamie@yahoo.com,
BMW,X5,2001,9877.68,Grey,84211,Automatic,Petrol,26-08-2023,Janice Santos,Russellfort,D0007,8550.327108,1327.352892,joseph51@hotmail.com,+10048930857x1742
Mercedes,E-Class,2012,66715.36,Red,122993.5,Manual,Electric,05-05-2024,Brenda Meyer,New Karen,D0009,52487.68669,14227.67331,jruiz@thompson.org,15901730480
Chevrolet,Malibu,2000,52818.87,White,105960.3,Automatic,Electric,04-02-2025,Anita Griffith,Smithside,D0008,42133.0204,10685.8496,galvanjessica@yahoo.com,153.490.6330
Chevrolet,Malibu,2004,60433.71,White,38668,Manual,Petrol,29-07-2024,Cheryl Kim,West Amanda,D0012,44700.98526,15732.72474,vhart@rodriguez.com,
BMW,X3,2005,51267.59,Grey,129351.5,Manual,Diesel,03-03-2023,Jared Butler,South Ashley,D0034,39197.03351,12070.55649,williamsnatalie@gmail,(458)680-6751
Mercedes,E-Class,2017,13435.13,Red,17820.9,Manual,Hybrid,05-01-2025,Terry Wright,Emilytown,D0033,11438.03742,1997.092584,melanieanderson@yahoo.com,781.590.1366
Kia,Optima,2021,38628.4,Blue,176202.2,Automatic,Diesel,02-10-2024,Ashley Hall,Estradafort,D0048,31222.97948,7405.420518,gonzalesjonathan@bray-curtis.com,001-759-562-1607x330
Mercedes,GLA,2007,27491.5,Silver,179510.6,Automatic,Electric,20-06-2025,Kelli Watkins,Robertstad,D0023,24565.73555,2925.764448,xchristian@yahoo.com,506-727-2617x93603
Ford,Escape,2018,15022.63,Grey,,Manual,Petrol,09-11-2021,Lindsey Parker,North Ashleyland,D0024,13717.85808,1304.77192,brian59@hotmail.com,-8434
Volkswagen,Passat,2019,46534.43,White,178354.4,Manual,Electric,12-11-2021,Maria Johnston,Richardstad,D0037,38875.40283,7659.027167,eyoung@johnson-green.com,828.994.5267
Kia,Optima,2015,35188.74,Black,123298.8,Manual,Electric,26-02-2021,Colin Ramirez,Scotthaven,D0035,31302.73565,3886.004352,danielleconner@yahoo.com,633.621.2121x36526
Mercedes,C-Class,2014,12963.92,White,53344.2,Automatic,Petrol,06-01-2022,Tiffany Cook,Riveraview,D0044,10069.41539,2894.504611,adean@morgan.biz,762.317.1922x04860
Mercedes,GLA,2023,25326.47,Blue,102161.8,Manual,Hybrid,07-10-2023,Donald Martinez,Port Jesse,D0040,20355.96801,4970.501991,stephanie03@leon.com,+1-485-042-7749x765
Volkswagen,Passat,2001,8285.13,White,121516.2,Manual,Electric,16-06-2025,Julia Allen,Nataliemouth,D0022,7275.954927,1009.175073,,(944)930-5879x154
Mercedes,C-Class,2012,8325.25,Silver,42957.8,Manual,Petrol,05-09-2024,Vincent White,West Sharonshire,D0027,6631.502848,1693.747152,pearsonamanda@sullivan.com,
Ford,Focus,2012,29257.89,Black,113777.2,Manual,Diesel,19-02-2023,Valerie White,Stephenshire,D0035,24785.12616,4472.763836,ericjones@brown.com,
Kia,Sportage,2014,14681.14,Silver,32257.3,Manual,Diesel,20-02-2024,Jessica King,North Jennifer,D0001,10957.16893,3723.97107,bryandavis@keller.com,+1-753-462-9481x833
Kia,Sportage,2018,24486.39,Red,76829.8,Automatic,Hybrid,23-08-2021,Jasmine Welch MD,Vincentburgh,D0035,20812.03158,3674.358418,abigail38@miller.info,236-006-5629x52250
Volkswagen,Tiguan,2007,51891.01,Silver,98687.5,Manual,Diesel,21-07-2020,Ellen Powell,West Leonardstad,D0037,47499.9111,4391.098901,gomezangela@garza.com,(009)6354385
Hyundai,Elantra,2013,49882.52,White,102854.8,Manual,Petrol,18-05-2025,Ryan Green,Port Patrick,D0047,45750.24755,4132.272448,zbarton@vega.com,580-405-3203x32390
Ford,Fusion,2017,27251.26,Black,136794.4,Manual,Hybrid,09-12-2024,Jesse Marshall,South Lindseychester,D0014,24010.70644,3240.553563,sullivanrobert@gmail.com,815-446-2035
BMW,X5,2006,49865.59,White,66822.9,Manual,Electric,17-05-2024,James Austin,Port Kevin,D0003,44202.77106,5662.818939,hoffmancameron@yahoo.com,(203)279-3528x008
Ford,Fusion,2001,23695.97,Grey,20410.7,Manual,Electric,26-05-2021,Jonathan Faulkner,Millerville,D0001,19892.337,3803.632999,martinsamantha@robertson.com,6637260466
Honda,CR-V,2023,,Blue,14899.3,Automatic,Diesel,20-07-2023,Keith Richardson,East Kimberlyland,D0005,,,louis95@garza-rice.com,904-446-1123
Nissan,Sentra,2013,47438.03,White,98102.5,Automatic,Electric,16-06-2025,Erin Woodward,East Travischester,D0026,34791.65107,12646.37893,timothyandersen@soto-gonzales.net,001-142-701-8499x14074
Toyota,Corolla,2013,62345.92,Blue,187114.9,Automatic,Hybrid,12-02-2024,Marcus Navarro,Victorview,D0014,50560.34636,11785.57364,lewislisa@gmail.com,231-050-3970x3088
BMW,X5,2019,11974.54,Black,60489.5,Manual,Diesel,20-06-2021,Alex Hayes,Richardhaven,D0039,9731.637661,2242.902339,tjackson@lynch.com,(991)1415884
BMW,X5,2005,5915.47,Black,159199.7,Automatic,Diesel,04-08-2020,Calvin Nicholson,Ryanchester,D0027,5558.320298,357.149702,burchgary@yahoo.com,
Honda,Civic,2004,36034.52,Blue,6331.9,Manual,Diesel,21-06-2022,Cassandra Garcia,South Brianton,D0009,29107.66604,6926.853957,kellihughes@yahoo.com,(197)573-6633
Mercedes,GLA,2007,9038.08,Red,95752,Automatic,Hybrid,14-10-2021,Timothy Little,West Scottland,D0015,7567.906693,1470.173307,,001-990-406-3764x2079
BMW,X3,2019,19355.2,Blue,98245.5,Manual,Electric,18-05-2022,Rebecca Williams DDS,Caldwellfurt,D0015,16128.93687,3226.263129,brian25@hotmail.com,001-096-961-8645
Chevrolet,Equinox,2024,43727.94,Red,107473.8,Manual,Petrol,03-02-2025,Richard Miller,East Grant,D0026,37570.62754,6157.312461,courtneymitchell@montgomery.biz,001-936-927-0413x175
